Year, Average Unique Words Per Song, Average Song Length, Average Word Length Per Song, Word Length CV, Unique to Total Ratio, Unique Words CV, Four, Five, Six, Seven, Eight
2005,153.361111111,458.638888889,3.80694259299,0.483812088832,0.337176330833,0.406384619168,122.583333333,57.1388888889,27.9722222222,14.4444444444,7.36111111111
2006,144.294117647,469.970588235,3.78324631485,0.462302759906,0.322540339479,0.40175828143,119.676470588,63.5,25.5,16.0294117647,6.73529411765
2007,145.85,505.825,3.80145929049,0.472147404645,0.300525581146,0.277172298754,128.875,59.9,27.775,17.65,8.8
2008,132.794871795,456.153846154,3.8041531417,0.467292952366,0.316677129485,0.387603555587,127.205128205,54.5384615385,28.0256410256,16.0256410256,7.10256410256
2009,142.078947368,477.078947368,3.91279968746,0.472443032783,0.309463302581,0.374115163279,136.105263158,57.8157894737,26.3947368421,16.7368421053,9.47368421053
2010,143.21875,482.71875,3.81230989918,0.47054912981,0.296999422458,0.428605967268,133.4375,57.84375,23.96875,17.78125,7.875
2011,144.837837838,490.054054054,3.89644848364,0.511131829637,0.297310728758,0.400745375674,125.810810811,58.4864864865,28.8108108108,17.8378378378,7.86486486486
2012,130.710526316,418.894736842,3.79655225722,0.460829553376,0.30662441045,0.422169148648,116.184210526,53.4736842105,20.0,15.6578947368,8.05263157895
2013,114.897435897,413.512820513,3.77213672499,0.472952932981,0.286509275594,0.509507900785,106.384615385,47.358974359,22.2564102564,19.2307692308,7.10256410256
2014,118.15,396.25,3.85632460174,0.464924251318,0.300727456776,0.426422489688,109.15,50.85,21.525,17.6,7.0
2015,127.916666667,434.361111111,3.79753611917,0.462898875221,0.295703444403,0.422577396382,120.944444444,53.2777777778,22.0833333333,17.2777777778,6.58333333333
